"aircraft","picture","source","author_name","author_profile","license"
"02a190","aircraft_pictures/02a190.jpg","https://www.flickr.com/photos/130961247@N06/31189375561/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a191","aircraft_pictures/02a191.jpg","https://www.flickr.com/photos/130961247@N06/28461774265/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a192","aircraft_pictures/02a192.jpg","https://www.flickr.com/photos/airlines470/6901774958/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02a193","aircraft_pictures/02a193.jpg","https://www.flickr.com/photos/130961247@N06/28176089970/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a194","aircraft_pictures/02a194.jpg","https://www.flickr.com/photos/130961247@N06/31304794505/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a195","aircraft_pictures/02a195.jpg","https://www.flickr.com/photos/airlines470/50328001977/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02a196","aircraft_pictures/02a196.jpg","https://www.flickr.com/photos/130961247@N06/29467904917/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1a0","aircraft_pictures/02a1a0.jpg","https://www.flickr.com/photos/130961247@N06/29553254212/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1a1","aircraft_pictures/02a1a1.jpg","https://www.flickr.com/photos/130961247@N06/36970165264/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1a2","aircraft_pictures/02a1a2.jpg","https://www.flickr.com/photos/130961247@N06/49565562897/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a1a7","aircraft_pictures/02a1a7.jpg","https://www.flickr.com/photos/airlines470/50418361757/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02a1ae","aircraft_pictures/02a1ae.jpg","https://www.flickr.com/photos/c38astra/8358304797/","Robert Underwood","https://www.flickr.com/photos/c38astra/","CC-BY-SA-2.0"
