"icao_code","iata_code","name","callsign","country","active","iata_member","iosa_certified","international","fleet_age","aircraft","aircraft_models","aircraft_over_25_years","routes","connections","destinations","annual_domestic_flights","annual_international_flights","accidents_last_5_years","fatal_accidents_last_5_years"
"NUL",NULL,"Aeroservicios de Nuevo Leon SA de CV","SERVICIOS NUEVOLEON","MX","1","0","0","0","29.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NUM",NULL,"Nomad Aviation AG","BULLY","CH","1","0","0","0","9.83","6","5","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NUS",NULL,"Northern Illinois Flight Center Inc","ENJET","US","1","0","0","0","21.78","9","8","3",NULL,NULL,NULL,NULL,NULL,"0","0"
"NVC",NULL,"Nav Canada","NAV CAN","CA","1","0","0","0","24.00","3","2","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NVD","X9","Avion Express","NORDVIND","LT","1","0","1","1","20.33","6","2","1","130","65","49","0","2185","0","0"
"NVJ",NULL,"Fly International Airways","NOUVINTER","TN","1","0","0","0","21.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NVK",NULL,"Nizhnevartovskavia","VARTOVSKAVIA","RU","1","0","0","0","29.50","26","1","23",NULL,NULL,NULL,NULL,NULL,"0","0"
"NVM",NULL,"Naviera Mexicana SA de CV","NAVIERA","MX","1","0","0","0","21.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NVQ",NULL,"NovoAir","NOVO AIR","BD","1","0","0","1","20.00","4","1","0","20","10","10","9223","340","1","1"
"NVS",NULL,"Nouvelle Air Affaires Gabon","NOUVELLE AFFAIRES","GA","1","0","0","0","24.00","3","3","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NVY",NULL,"Royal Navy","NAVY","GB","1","0","0","0","16.83","99","4","12",NULL,NULL,NULL,NULL,NULL,"0","0"
"NWF",NULL,"Northwest Flyers","SECOND CITY","US","1","0","0","0","25.75","4","4","3",NULL,NULL,NULL,NULL,NULL,"0","0"
