icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,approach_speed,cruise_speed,maximum_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,mlw,mrw,mtow,mzfw,type_certificate
B703,703,Boeing,707-300,L4J,H,,,128,525,,,3.76,12.85,46.61,283.00,43.41,,,90160,3750,,,141700,,
B712,717,Boeing,717-200,L2J,M,,37000,139,444,,,3.34,9.00,37.80,,28.40,,,13903,,45362,,49895,42638,
B720,B72,Boeing,720,L4J,M,,42000,137,,,,3.76,12.62,41.50,,39.88,,,60900,5200,,,104000,,
B721,721,Boeing,727-100,L3J,M,,42000,124,495,519,,,10.44,40.59,153.00,32.92,,,29069,2250,,,76700,,
B722,722,Boeing,727-200,L3J,M,,42000,133,467,519,,,10.65,46.68,153.00,32.92,,,30620,1900,,,78100,,
B731,731,Boeing,737-100,L2J,M,,37000,140,430,473,4.01,3.76,11.28,28.65,91.04,28.35,,,17865,1540,48534,58331,58105,44905,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B732,732,Boeing,737-200,L2J,M,,37000,129,430,473,4.01,3.76,11.28,30.48,91.04,28.35,,,22596,2600,48534,58331,58105,44905,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B733,733,Boeing,737-300,L2J,M,,37000,135,430,473,4.01,3.76,11.13,33.40,91.04,28.88,,,20100,2255,52888,63502,63276,49713,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B734,734,Boeing,737-400,L2J,M,,37000,139,430,473,4.01,3.76,11.13,36.45,91.04,28.88,,,20100,2060,56245,68265,68038,53070,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B735,735,Boeing,737-500,L2J,M,,37000,128,430,473,4.01,3.76,11.13,31.01,91.04,28.88,,,20100,2375,49895,61915,61688,46720,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B736,736,Boeing,737-600,L2J,M,,41000,125,453,,4.01,3.76,12.57,31.20,124.60,34.32,,,26024,,54657,66224,65997,51709,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B737,73G,Boeing,737-700,L2J,M,,41000,130,453,,4.01,3.76,12.57,32.18,124.60,34.32,,,26024,,58604,70306,70080,55202,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
