aircraft_type,picture,source,author_name,author_profile,license
A225,aircraft_types_pictures/A225.webp,https://www.flickr.com/photos/oliviercabaret/49858879841/,Olivier CABARET,https://www.flickr.com/photos/oliviercabaret/,CC-BY-2.0
A3,aircraft_types_pictures/A3.webp,https://www.flickr.com/photos/wbaiv/5092277159/,Bill Abbott,https://www.flickr.com/photos/wbaiv/,CC-BY-SA-2.0
A306,aircraft_types_pictures/A306.webp,https://www.flickr.com/photos/aero_icarus/6042375672/,Aero Icarus,https://www.flickr.com/photos/aero_icarus/,CC-BY-SA-2.0
A30B,aircraft_types_pictures/A30B.webp,https://www.flickr.com/photos/sas-museum/48768477696/,SAS Museet,https://www.flickr.com/photos/sas-museum/,CC-BY-SA-2.0
A310,aircraft_types_pictures/A310.webp,https://www.flickr.com/photos/184423835@N06/49840366413/,David Rodríguez González,https://www.flickr.com/photos/184423835@N06/,CC0-1.0
A318,aircraft_types_pictures/A318.webp,https://www.flickr.com/photos/130961247@N06/49734881033/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
A319,aircraft_types_pictures/A319.webp,https://www.flickr.com/photos/184423835@N06/49821348846/,David Rodríguez González,https://www.flickr.com/photos/184423835@N06/,CC0-1.0
A320,aircraft_types_pictures/A320.webp,https://www.flickr.com/photos/184423835@N06/49876914743/,David Rodríguez González,https://www.flickr.com/photos/184423835@N06/,CC0-1.0
A321,aircraft_types_pictures/A321.webp,https://www.flickr.com/photos/130961247@N06/40664430033/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
A332,aircraft_types_pictures/A332.webp,https://www.flickr.com/photos/marvin-mutz/49568550133/,Marvin Mutz,https://www.flickr.com/photos/marvin-mutz/,CC-BY-SA-2.0
A333,aircraft_types_pictures/A333.webp,https://www.flickr.com/photos/dylan33/48825698472/,Dylan Agbagni,https://www.flickr.com/photos/dylan33/,CC0-1.0
A337,aircraft_types_pictures/A337.webp,https://www.flickr.com/photos/dylan33/48928991596/,Dylan Agbagni,https://www.flickr.com/photos/dylan33/,CC0-1.0
A339,aircraft_types_pictures/A339.webp,https://www.flickr.com/photos/lynothehammer/43450064651/,Steve Lynes,https://www.flickr.com/photos/lynothehammer/,CC-BY-2.0
A342,aircraft_types_pictures/A342.webp,https://www.flickr.com/photos/airlines470/18554238259/,ERIC SALARD,https://www.flickr.com/photos/airlines470/,CC-BY-SA-2.0
A343,aircraft_types_pictures/A343.webp,https://www.flickr.com/photos/airlines470/49283027793/,ERIC SALARD,https://www.flickr.com/photos/airlines470/,CC-BY-SA-2.0
A345,aircraft_types_pictures/A345.webp,https://www.flickr.com/photos/aero_icarus/6041785875/,Aero Icarus,https://www.flickr.com/photos/aero_icarus/,CC-BY-SA-2.0
A346,aircraft_types_pictures/A346.webp,https://www.flickr.com/photos/129575161@N05/27018527696/,Masakatsu Ukon,https://www.flickr.com/photos/129575161@N05/,CC-BY-SA-2.0
A359,aircraft_types_pictures/A359.webp,https://www.flickr.com/photos/montoya711/20133325719/,Melv_L - MACASR,https://www.flickr.com/photos/montoya711/,CC-BY-SA-2.0
A35K,aircraft_types_pictures/A35K.webp,https://www.flickr.com/photos/dylan33/48825544403/,Dylan Agbagni,https://www.flickr.com/photos/dylan33/,CC0-1.0
A37,aircraft_types_pictures/A37.webp,https://www.flickr.com/photos/tom-margie/2999923368/,Insomnia Cured Here,https://www.flickr.com/photos/tom-margie/,CC0-1.0
A388,aircraft_types_pictures/A388.webp,https://www.flickr.com/photos/marvin-mutz/48710704332/,Marvin Mutz,https://www.flickr.com/photos/marvin-mutz/,CC-BY-SA-2.0
A3ST,aircraft_types_pictures/A3ST.webp,https://www.flickr.com/photos/kitmasterbloke/49020140378/,kitmasterbloke,https://www.flickr.com/photos/kitmasterbloke/,CC-BY-2.0
A4,aircraft_types_pictures/A4.webp,https://www.flickr.com/photos/siamesepuppy/47089829554/,siamesepuppy,https://www.flickr.com/photos/siamesepuppy/,CC-BY-2.0
A400,aircraft_types_pictures/A400.webp,https://www.flickr.com/photos/airlines470/18306619154/,ERIC SALARD,https://www.flickr.com/photos/airlines470/,CC-BY-SA-2.0
A6,aircraft_types_pictures/A6.webp,https://www.flickr.com/photos/109661044@N07/19345654960/,Rob Schleiffert,https://www.flickr.com/photos/109661044@N07/,CC-BY-SA-2.0
A743,aircraft_types_pictures/A743.webp,https://www.flickr.com/photos/papasdos/32957756543/,Papas Dos,https://www.flickr.com/photos/papasdos/,CC-BY-2.0
